Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,103952150,304391960,103952150
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,130553516,380313023,130553516
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,112774829,316838653,112774829
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,118753895,330228748,118753895
Cambodia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,120879929,394662964,120879929
Cameroon,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,38,282,38
Cameroon,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,630,3299,630
Cameroon,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,281,4334,281
Cameroon,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,150,2970,150
Cameroon,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,303,1288,303
Cameroon,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,36,1453,36
Canada,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,3934344,40220608,3934344
Canada,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,3412863,41648472,3412863
Canada,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,2944104,41755146,2944104
Canada,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,2459542,31974876,2459542
Canada,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,2402071,31566532,2402071
Canada,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,3046684,33824540,3046684
Cayman Islands,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,31005,68119,31005
Cayman Islands,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,53,2444,53
Cayman Islands,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,49,781,49
Cayman Islands,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,97,1957,97
